# PropArm Data Recording
# Export Time: 2025-11-19T19:00:49
# Number of Points: 396
# Recording Duration: 19.981 seconds
# Start Time: 2025-11-19T18:59:27
# End Time: 2025-11-19T18:59:47
#
Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg
16.338884,62.111545,60.000000,536.335919,1440.00,7.2000,-2.111545
16.389876,62.301536,60.000000,535.393091,1436.00,7.1800,-2.301536
16.439850,62.435949,60.000000,536.691868,1430.00,7.1500,-2.435949
16.490944,62.350119,60.000000,534.521957,1434.00,7.1700,-2.350119
16.540863,62.281455,60.000000,535.694904,1440.00,7.2000,-2.281455
16.590869,62.208944,60.000000,534.803498,1436.00,7.1800,-2.208944
16.641858,62.010315,60.000000,536.447108,1437.00,7.1850,-2.010315
16.691884,61.833832,60.000000,534.170962,1435.00,7.1750,-1.833832
16.742839,61.534446,60.000000,535.786003,1436.00,7.1800,-1.534446
16.793156,61.347677,60.000000,534.959322,1439.00,7.1950,-1.347677
16.843976,61.268581,60.000000,535.516479,1436.00,7.1800,-1.268581
16.894877,61.240445,60.000000,534.709887,1434.00,7.1700,-1.240445
16.945868,61.200376,60.000000,534.775694,1436.00,7.1800,-1.200376
16.995889,61.115581,60.000000,535.601100,1437.00,7.1850,-1.115581
17.046895,60.871965,60.000000,533.963445,1434.00,7.1700,-0.871965
17.096905,60.483712,60.000000,535.305683,1433.00,7.1650,-0.483712
17.148077,60.260989,60.000000,534.176411,1436.00,7.1800,-0.260989
17.197901,60.082812,60.000000,535.869879,1436.00,7.1800,-0.082812
17.249377,60.045749,60.000000,533.823657,1433.00,7.1650,-0.045749
17.299971,60.051239,60.000000,535.515364,1434.00,7.1700,-0.051239
17.349932,59.950171,60.000000,535.059774,1430.00,7.1500,0.049829
17.400995,59.851737,60.000000,535.040113,1434.00,7.1700,0.148263
17.451855,59.667530,60.000000,534.209321,1434.00,7.1700,0.332470
17.501884,59.643204,60.000000,534.344783,1435.00,7.1750,0.356796
17.552910,59.729203,60.000000,535.459780,1437.00,7.1850,0.270797
17.603868,59.780442,60.000000,534.018913,1435.00,7.1750,0.219558
17.653886,59.751114,60.000000,535.857206,1432.00,7.1600,0.248886
17.704856,59.956171,60.000000,534.922585,1437.00,7.1850,0.043829
17.755840,60.208097,60.000000,535.675633,1435.00,7.1750,-0.208097
