# PropArm Data Recording
# Export Time: 2025-11-19T14:19:50
# Number of Points: 995
# Recording Duration: 9.993 seconds
# Start Time: 2025-11-19T14:19:05
# End Time: 2025-11-19T14:19:15
#
Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,Motor_Speed_rad_s,PWM_Input_us
4.745462,10.981544,0.000000,373.353693,1216.00
4.755713,10.759948,0.000000,373.221274,1216.00
4.765585,10.545568,0.000000,373.057895,1215.00
4.775652,10.338451,0.000000,372.897747,1215.00
4.785738,10.137607,0.000000,372.740767,1215.00
4.795749,9.942449,0.000000,372.586893,1215.00
4.806171,9.754078,0.000000,372.436063,1215.00
4.815824,9.573944,0.000000,372.288217,1215.00
4.825935,9.536100,0.000000,372.109715,1214.00
4.835866,9.536100,0.000000,371.867582,1212.00
4.846031,9.544282,0.000000,371.596658,1211.00
4.856250,9.560489,0.000000,371.331094,1211.00
4.866125,9.584492,0.000000,371.070783,1211.00
4.876176,9.615912,0.000000,370.815622,1211.00
4.886268,9.654497,0.000000,370.531928,1210.00
4.896249,9.700805,0.000000,370.253845,1210.00
4.906676,9.754963,0.000000,369.981265,1210.00
4.916489,9.816380,0.000000,369.714076,1210.00
4.926488,9.884343,0.000000,369.452173,1210.00
4.936479,9.958580,0.000000,369.161871,1209.00
4.946510,10.039072,0.000000,368.877311,1209.00
4.956941,10.126224,0.000000,368.598380,1209.00
4.966848,10.219906,0.000000,368.324968,1209.00
4.976846,10.319358,0.000000,368.056964,1209.00
4.986814,10.423632,0.000000,367.794262,1209.00
4.996790,10.532253,0.000000,367.503177,1208.00
5.007119,10.645912,0.000000,367.217849,1208.00
5.017212,10.764789,0.000000,366.938166,1208.00
5.027105,10.888748,0.000000,366.664016,1208.00
5.037039,11.016779,0.000000,366.395290,1208.00
5.047107,11.147687,0.000000,366.131879,1208.00
5.057389,11.281342,0.000000,365.840098,1207.00
5.067309,11.418049,0.000000,365.554090,1207.00
5.077433,11.557849,0.000000,365.273740,1207.00
5.087300,11.700494,0.000000,364.998935,1207.00
5.097314,11.844786,0.000000,364.729567,1207.00
5.107505,11.989882,0.000000,364.465528,1207.00
5.117509,12.135694,0.000000,364.173131,1206.00
5.127577,12.282385,0.000000,363.886519,1206.00
5.137690,12.430396,0.000000,363.605577,1206.00
5.147662,12.579595,0.000000,363.330192,1206.00
5.157725,12.728757,0.000000,363.060255,1206.00
5.167784,12.876752,0.000000,362.795658,1206.00
5.177866,13.022806,0.000000,362.536296,1206.00
5.188028,13.167506,0.000000,362.282064,1206.00
5.197925,13.311371,0.000000,362.032862,1206.00
5.207921,13.454114,0.000000,361.755009,1205.00
5.218012,13.595092,0.000000,361.482652,1205.00
5.228123,13.733088,0.000000,361.215683,1205.00
5.238295,13.867208,0.000000,360.953996,1205.00
5.248127,13.997290,0.000000,360.697485,1205.00
5.258142,14.123702,0.000000,360.446049,1205.00
5.268535,14.246734,0.000000,360.199587,1205.00
5.278408,14.365979,0.000000,359.958001,1205.00
5.288528,14.480656,0.000000,359.721194,1205.00
5.298427,14.590122,0.000000,359.489071,1205.00
5.308439,14.693615,0.000000,359.261541,1205.00
5.318904,14.791507,0.000000,359.038511,1205.00
5.328679,14.884034,0.000000,358.819894,1205.00
5.338637,14.971290,0.000000,358.605601,1205.00
5.348659,15.052571,0.000000,358.395548,1205.00
5.358762,15.127712,0.000000,358.189650,1205.00
5.369235,15.196044,0.000000,357.987825,1205.00
5.379018,15.257345,0.000000,357.789993,1205.00
5.388921,15.311782,0.000000,357.596075,1205.00
5.399000,15.359443,0.000000,357.405993,1205.00
5.409081,15.400417,0.000000,357.186090,1204.00
